ordinal__Parental_Involvement,ordinal__Access_to_Resources,ordinal__Motivation_Level,ordinal__Family_Income,ordinal__Teacher_Quality,nominal__Peer_Influence_Negative,nominal__Peer_Influence_Neutral,nominal__Peer_Influence_Positive,nominal__Parental_Education_Level_College,nominal__Parental_Education_Level_High School,nominal__Parental_Education_Level_Postgraduate,nominal__Distance_from_Home_Far,nominal__Distance_from_Home_Moderate,nominal__Distance_from_Home_Near,binary__Extracurricular_Activities,binary__Internet_Access,binary__Learning_Disabilities,num__Hours_Studied,num__Attendance,num__Previous_Scores,num__Consistency_Score,num__Motivation_Adjusted_Study,log1p__Tutoring_Sessions
1.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.173578797781769,-0.07584642939569783,-0.8372766897155727,-0.705709530842278,2.3611822251221297,0.5982312172375001
0.0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,-0.6619831869109362,0.5318942367281592,1.314727867013022,1.4514966957097026,-0.3243857961737499,0.5982312172375001
1.0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.33923244110326667,0.6187143318887102,0.5511133468835206,0.8523113164002853,-0.8724609025606641,-0.1869613226505009
0.0,2.0,2.0,2.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,-0.3282446442395352,1.7473755689758732,0.7593718523733847,1.809758173952645,-0.10515575361898423,-0.1869613226505009
0.0,1.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.5085329684673727,-0.16266652455624883,1.6618253761627952,1.2001582167873281,1.758299608096524,-0.1869613226505009
2.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,-0.49511391557523565,1.0528148076914652,-0.6290181842257087,0.05455465263838454,-1.1464984557541211,0.5982312172375001
0.0,2.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,-0.3282446442395352,-0.24948661971679983,0.34285484139365663,0.11565350939299487,-0.10515575361898423,-0.1869613226505009
2.0,2.0,1.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.5061017124389672,0.8791746173703632,0.9676303578632486,1.4001181116205983,-0.8176533919219726,0.5982312172375001
2.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.33923244110326667,-1.204507666482861,-0.8372766897155727,-1.2743454817743902,1.5390695655417583,-0.1869613226505009
2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,-0.3282446442395352,-0.3363067148773508,0.48169384505356594,0.1656434831013124,0.8813794378774613,0.5982312172375001
